asin,content,date,rate,reviewer,title
B07X1NCBS8," 'Very sturdy, but knocked a point as they are a tiny bit larger than I maybe would have liked them to be.'Quality wise for the money, they are a great set of table lamps.' ","Reviewed in Canada on January 3, 2020",4,Jason Balsa," 'Great quality for the money, but also quite large.' "
B07X1NCBS8," 'Perfect size, very modern look and very sturdy, looks amazing in my new living room with Yeelight smart bulbs, the color LED bulbs really work well in these. Very happy with this purchase!' ","Reviewed in Canada on September 10, 2019",5,Jere Wall, 'Literally exactly what I was looking for!' 
B07X1NCBS8," 'bI love that it comes with a set so then you have matching ones for a bedroom or wherever else you'd like them.They are super modern and very classic, i like that there not much of a design to them, lamps can look pretty tacky that way. The USB port is PERFECT for phone charging' ","Reviewed in Canada on December 24, 2019",5,Amazon Customer, 'Perfect Bedroom Lamps!' 
B07X1NCBS8, 'Put them in my spare room in the basement as we have lots of out of town company stay with us. Love the USB port on them. Get compliments. Great value for 2 lamps.' ,"Reviewed in Canada on January 10, 2020",5,Lisa Gallant, 'Great buy' 
B07X1NCBS8, 'Perfect as a side table lamp or bedside lamp. Good quality. Good price.' ,"Reviewed in Canada on January 30, 2020",5,Amazon Customer, 'Love these lamps' 
B07X1NCBS8, 'Nice bedside table lamps but I wish they were a little taller and had two USB plug ins and a power option as well. However it is good enough value for the money.' ,"Reviewed in Canada on October 16, 2019",4,Amazon Customer, 'Bedside lamps' 
B07X1NCBS8, 'Perfect for our master bedroom end tables! We especially lobe the USB adapter on the light.' ,"Reviewed in Canada on February 27, 2020",5,Amazon Customer," 'Great lamps, perfect for bedroom' "
B07X1NCBS8, 'Perfect size for bedside tables. I love the pull cord and the usb port for charging!' ,"Reviewed in Canada on February 18, 2020",5,Stephanie Mose, 'Love them' 
B07X1NCBS8, 'They are perfect and what I was looking for.' ,"Reviewed in Canada on February 26, 2020",5,Lise Poulin, 'Love them' 
B07X1NCBS8, 'Nice small size lamp' ,"Reviewed in Canada on August 1, 2019",4,Goldie, 'Small but nice' 
B07X1NCBS8," 'This item is exactly as described.'bI find many of the other reviews, specifically, the ones about the lack of brightness to be unfair. If you read the description it clearly states that this comes with a very low watage bulb, and you may choose to upgrade should you wish to use it as a reading lamp etc. Honestly you can ready from it, but if that's the main purpose I would recommend purchasing a new bulb.The only other negative reviews I saw were in regards to the height. It is exactly the deminsions listed in the description. My photo has a contigo bottle for reference, for those who are deminsionally challenged :)'Each port works great, and you can have up to 5 things hooked up at a time. I charge my phone, tablet, head phones each night from it. Occasionally I also have my laptop and FitBit charging on top of that, all with no issue.'I bought two, one for each night stand, and am super happy with my purchase, and would absolutely recommend.' ","Reviewed in Canada on December 24, 2019",5,Lisa H," 'Exactly as described, and perfect for my needs' "
B07X1NCBS8," 'I like what they are going for, but the downside is that the bulb is not bright enough, so I had to buy a new one separately. In addition, the usb charging is false on the product details. It takes to charge any type of device a minimum of 7.5 hours! False advertising on that. Otherwise, I like it. It is not bad. The company should focus on the charging and change of light, meaning that they should invest in better light bulbs when shipping the product to the customers.' ","Reviewed in Canada on November 1, 2018",4,Mykhailo Hryschenko," 'Interesting, but could have bought something better.' "
B07X1NCBS8," 'This bedside table lamp is all I can ask for!'Contents:'Bedside Table Lamp'1x 3w Light BulUser Manual'Overall, packaging was great. Lamp cover comes wrapped in plastic to keep it from getting dirty or ruined in packaging.'Perfect size to put on a desk and super convenient!'Comes with 3 USB ports that can charge just about anything, as well as 2 AC outlets!'The USB port on the lamp functions regardless of whether the lamp is on or off.'bOverall, can't complain, a great & sleek modern design, thats perfect for any table/bedroom/office.I would also like to mention that there is a 24-month warranty on the product!, as well as 90-Day money back guarantee if you are dissatisfied with the purchase!' ","Reviewed in Canada on May 15, 2019",5,ReviewsOnAnything, 'Great Bedside Table Lamp!' 
B07X1NCBS8," 'Nice simple bedside lamp, very lightweight, but after one tip over on the nightstand, the base broke, and it s past the return date. So for me, it lasted only a few months. Perhaps a little more weight to the base would prevent tip overs.' ","Reviewed in Canada on June 20, 2019",4,Diane G., 'Broke after one tip over' 
